City,Region,Country,Local Time,Temperature (C),Condition,Wind (kph),Humidity,Feels Like (C)
Norwood,Ohio,United States of America,2025-05-13 20:36,18.9,Light rain,4.7,96,18.9
Forest Park,Ohio,United States of America,2025-05-13 20:37,17.8,Overcast,4.7,100,17.8
Cincinnati,Ohio,United States of America,2025-05-13 20:37,18.9,Light rain,4.7,96,18.9
White Oak,Ohio,United States of America,2025-05-13 20:37,17.8,Overcast,6.5,100,17.8
Sharonville,Ohio,United States of America,2025-05-13 20:37,17.8,Overcast,4.3,100,17.8
White Oak,Ohio,United States of America,2025-05-13 20:37,17.8,Overcast,6.5,100,17.8
White Oak,Ohio,United States of America,2025-05-13 20:37,17.8,Overcast,6.5,100,17.8
Blue Ash,Ohio,United States of America,2025-05-13 20:37,18.9,Light rain,4.3,96,18.9
Loveland,Ohio,United States of America,2025-05-13 20:37,18.9,Light rain,3.6,96,18.9
White Oak,Ohio,United States of America,2025-05-13 20:37,17.8,Overcast,6.5,100,17.8
White Oak,Ohio,United States of America,2025-05-13 20:37,17.8,Overcast,6.5,100,17.8
Finneytown,Ohio,United States of America,2025-05-13 20:37,18.9,Light rain,5.8,96,18.9
White Oak,Ohio,United States of America,2025-05-13 20:37,17.8,Overcast,6.5,100,17.8
Fort Thomas,Kentucky,United States of America,2025-05-13 20:37,18.9,Light rain,4.7,96,18.9
Springdale,Ohio,United States of America,2025-05-13 20:37,17.8,Overcast,4.7,100,17.8
Montgomery,Ohio,United States of America,2025-05-13 20:37,18.9,Light rain,4.3,96,18.9
Northbrook,Ohio,United States of America,2025-05-13 20:37,17.8,Overcast,6.5,100,17.8
Reading,Ohio,United States of America,2025-05-13 20:37,18.9,Light rain,4.3,96,18.9
North College Hill,Ohio,United States of America,2025-05-13 20:37,17.8,Overcast,5.8,100,17.8
Montgomery,Ohio,United States of America,2025-05-13 20:37,18.9,Light rain,4.3,96,18.9
Reading,Ohio,United States of America,2025-05-13 20:37,18.9,Light rain,4.3,96,18.9
White Oak,Ohio,United States of America,2025-05-13 20:37,17.8,Overcast,6.5,100,17.8
Blue Ash,Ohio,United States of America,2025-05-13 20:37,18.9,Light rain,4.3,96,18.9
White Oak,Ohio,United States of America,2025-05-13 20:37,17.8,Overcast,6.5,100,17.8
Fort Thomas,Kentucky,United States of America,2025-05-13 20:37,18.9,Light rain,4.7,96,18.9
North College Hill,Ohio,United States of America,2025-05-13 20:37,17.8,Overcast,5.8,100,17.8
Northbrook,Ohio,United States of America,2025-05-13 20:37,17.8,Overcast,6.5,100,17.8
White Oak,Ohio,United States of America,2025-05-13 20:37,17.8,Overcast,6.5,100,17.8
Montgomery,Ohio,United States of America,2025-05-13 20:37,18.9,Light rain,4.3,96,18.9
Northbrook,Ohio,United States of America,2025-05-13 20:37,17.8,Overcast,6.5,100,17.8
Blue Ash,Ohio,United States of America,2025-05-13 20:37,18.9,Light rain,4.3,96,18.9
Fort Thomas,Kentucky,United States of America,2025-05-13 20:37,18.9,Light rain,4.7,96,18.9
Erlanger,Kentucky,United States of America,2025-05-13 20:37,17.8,Partly cloudy,4.7,93,17.8
Northbrook,Ohio,United States of America,2025-05-13 20:37,17.8,Overcast,6.5,100,17.8
Blue Ash,Ohio,United States of America,2025-05-13 20:37,18.9,Light rain,4.3,96,18.9
White Oak,Ohio,United States of America,2025-05-13 20:37,17.8,Overcast,6.5,100,17.8
Forest Park,Ohio,United States of America,2025-05-13 20:37,17.8,Overcast,4.7,100,17.8
Fort Thomas,Kentucky,United States of America,2025-05-13 20:37,18.9,Light rain,4.7,96,18.9
White Oak,Ohio,United States of America,2025-05-13 20:37,17.8,Overcast,6.5,100,17.8
Cincinnati,Ohio,United States of America,2025-05-13 20:37,18.9,Light rain,4.7,96,18.9
Fort Thomas,Kentucky,United States of America,2025-05-13 20:37,18.9,Light rain,4.7,96,18.9
Springdale,Ohio,United States of America,2025-05-13 20:37,17.8,Overcast,4.7,100,17.8
Reading,Ohio,United States of America,2025-05-13 20:37,18.9,Light rain,4.3,96,18.9
Cincinnati,Ohio,United States of America,2025-05-13 20:37,18.9,Light rain,4.7,96,18.9
Loveland,Ohio,United States of America,2025-05-13 20:37,18.9,Light rain,3.6,96,18.9
Forest Park,Ohio,United States of America,2025-05-13 20:37,17.8,Overcast,4.7,100,17.8
Fort Thomas,Kentucky,United States of America,2025-05-13 20:37,18.9,Light rain,4.7,96,18.9
Covington,Kentucky,United States of America,2025-05-13 20:37,18.9,Light rain,4.7,96,18.9
Northbrook,Ohio,United States of America,2025-05-13 20:37,17.8,Overcast,6.5,100,17.8
Reading,Ohio,United States of America,2025-05-13 20:37,18.9,Light rain,4.3,96,18.9
Cincinnati,Ohio,United States of America,2025-05-13 20:37,18.9,Light rain,4.7,96,18.9
White Oak,Ohio,United States of America,2025-05-13 20:38,17.8,Overcast,6.5,100,17.8
Blue Ash,Ohio,United States of America,2025-05-13 20:38,18.9,Light rain,4.3,96,18.9
Fort Thomas,Kentucky,United States of America,2025-05-13 20:38,18.9,Light rain,4.7,96,18.9
Reading,Ohio,United States of America,2025-05-13 20:38,18.9,Light rain,4.3,96,18.9
Northbrook,Ohio,United States of America,2025-05-13 20:38,17.8,Overcast,6.5,100,17.8
Fort Thomas,Kentucky,United States of America,2025-05-13 20:38,18.9,Light rain,4.7,96,18.9
Sharonville,Ohio,United States of America,2025-05-13 20:38,17.8,Overcast,4.3,100,17.8
Finneytown,Ohio,United States of America,2025-05-13 20:38,17.8,Overcast,5.8,100,17.8
Montgomery,Ohio,United States of America,2025-05-13 20:38,18.9,Light rain,4.3,96,18.9
White Oak,Ohio,United States of America,2025-05-13 20:38,17.8,Overcast,6.5,100,17.8
Springdale,Ohio,United States of America,2025-05-13 20:38,17.8,Overcast,4.7,100,17.8
Cincinnati,Ohio,United States of America,2025-05-13 20:38,18.9,Light rain,4.7,96,18.9
Fort Thomas,Kentucky,United States of America,2025-05-13 20:38,18.9,Light rain,4.7,96,18.9
Blue Ash,Ohio,United States of America,2025-05-13 20:38,18.9,Light rain,4.3,96,18.9
Northbrook,Ohio,United States of America,2025-05-13 20:38,17.8,Overcast,6.5,100,17.8
Northbrook,Ohio,United States of America,2025-05-13 20:38,17.8,Overcast,6.5,100,17.8
White Oak,Ohio,United States of America,2025-05-13 20:38,17.8,Overcast,6.5,100,17.8
North College Hill,Ohio,United States of America,2025-05-13 20:38,17.8,Overcast,5.8,100,17.8
White Oak,Ohio,United States of America,2025-05-13 20:38,17.8,Overcast,6.5,100,17.8
North College Hill,Ohio,United States of America,2025-05-13 20:38,17.8,Overcast,5.8,100,17.8
Reading,Ohio,United States of America,2025-05-13 20:38,17.8,Overcast,4.3,100,17.8
White Oak,Ohio,United States of America,2025-05-13 20:38,17.8,Overcast,6.5,100,17.8
Sharonville,Ohio,United States of America,2025-05-13 20:38,17.8,Overcast,4.3,100,17.8
White Oak,Ohio,United States of America,2025-05-13 20:38,17.8,Overcast,6.5,100,17.8
Cincinnati,Ohio,United States of America,2025-05-13 20:38,18.9,Light rain,4.7,96,18.9
Sharonville,Ohio,United States of America,2025-05-13 20:38,18.9,Light rain,4.3,96,18.9
Montgomery,Ohio,United States of America,2025-05-13 20:38,18.9,Light rain,4.3,96,18.9
Montgomery,Ohio,United States of America,2025-05-13 20:38,18.9,Light rain,4.3,96,18.9
White Oak,Ohio,United States of America,2025-05-13 20:38,17.8,Overcast,6.5,100,17.8
Cincinnati,Ohio,United States of America,2025-05-13 20:38,18.9,Light rain,4.7,96,18.9
White Oak,Ohio,United States of America,2025-05-13 20:38,17.8,Overcast,6.5,100,17.8
Montgomery,Ohio,United States of America,2025-05-13 20:38,18.9,Light rain,4.3,96,18.9
Northbrook,Ohio,United States of America,2025-05-13 20:38,17.8,Overcast,6.5,100,17.8
Cincinnati,Ohio,United States of America,2025-05-13 20:38,18.9,Light rain,4.7,96,18.9
